episodio,condicion,N,max_por_agente,dispara_por_agente,dispara_poblacional
ep_benigna_P4_N4_42_181024,benigna,4,4,False,False
ep_benigna_P4_N4_42_181204,benigna,4,2,False,False
ep_benigna_P4_N4_42_181333,benigna,4,3,False,False
ep_emergente_P4_N4_42,emergente,4,5,False,False
ep_emergente_P4_N4_42#2,emergente,4,2,False,False
ep_emergente_P4_N4_42#3,emergente,4,5,False,False
ep_emergente_P4_N4_42_181913,emergente,4,9,True,True
ep_emergente_P4_N4_42_182101,emergente,4,9,True,True
ep_emergente_P4_N4_42_182323,emergente,4,9,True,False
ep_honestidad_P4_N4_42_182608,honestidad,4,2,False,True
ep_honestidad_P4_N4_42_182747,honestidad,4,2,False,True
ep_honestidad_P4_N4_42_183014,honestidad,4,9,True,False
ep_instruida_P2_N4_42_223446,instruida,4,4,False,True
ep_instruida_P2_N4_42_223446_contrafactual,instruida,4,10,True,True
ep_instruida_P2_N4_42_223628,instruida,4,9,True,True
ep_instruida_P2_N4_42_223628_contrafactual,instruida,4,4,False,True
ep_instruida_P2_N4_42_223828,instruida,4,3,False,True
ep_instruida_P2_N4_42_223828_contrafactual,instruida,4,2,False,True
ep_instruida_P3_N4_42_224038,instruida,4,10,True,True
ep_instruida_P3_N4_42_224204,instruida,4,10,True,True
ep_instruida_P3_N4_42_224319,instruida,4,10,True,True
ep_instruida_P4_N3_42,instruida,3,4,False,False
ep_instruida_P4_N3_42_180643,instruida,3,4,False,False
ep_instruida_P4_N3_42_180821,instruida,3,9,True,False
ep_instruida_P4_N4_42,instruida,4,3,False,True
ep_instruida_P4_N4_42_181536,instruida,4,4,False,True
ep_instruida_P4_N4_42_181745,instruida,4,3,False,True
ep_instruida_P4_N5_42,instruida,5,10,True,True
ep_instruida_P4_N8_42_183236,instruida,8,3,False,True
ep_instruida_P4_N8_42_183533,instruida,8,5,False,True
ep_instruida_P4_N8_42_183824,instruida,8,10,True,True
